name,sku,category,price,compareAtPrice,stock,description,shortDescription,image_1,weight,status,featured
Pure Bhimseni Camphor (Kapur) Small,RAM-PS-001,Pooja Samagri,169,219,183,"Premium quality bhimseni camphor flakes, zero residue, leaves sacred aroma during aarti and havan rituals. Sourced from natural camphor trees.",100% pure organic bhimseni camphor for aarti,https://images.unsplash.com/photo-1609357605129-26f69add5d6e?w=800&auto=format&fit=crop&q=80,413,ACTIVE,true
Organic Cotton Wicks (Batti) Standard Count,RAM-PS-002,Pooja Samagri,249,309,276,Unbleached raw organic cotton wicks hand-rolled for perfect flame. Ideal for daily diya lighting in temples and home mandirs.,Hand-rolled pure cotton wicks for diyas,https://images.unsplash.com/photo-1608571423902-eed4a5ad8108?w=800&auto=format&fit=crop&q=80,178,ACTIVE,true
Premium Dhoop Sticks Premium Pack,RAM-PS-003,Pooja Samagri,359,419,397,Hand-rolled natural dhoop sticks made from pure herbs and essential oils. Bamboo-less for clean burning and spiritual ambiance.,Natural bamboo-less dhoop for meditation,https://images.unsplash.com/photo-1590249350651-28a2c5aa0de3?w=800&auto=format&fit=crop&q=80,160,ACTIVE,true
Pure Havan Samagri Jumbo,RAM-PS-004,Pooja Samagri,479,549,61,"Authentic havan samagri containing 51 sacred herbs including guggal, kapoor kachri, nagarmotha for Vedic fire rituals.",Traditional sacred fire ritual mixture,https://images.unsplash.com/photo-1604607053070-6ede2b4c6747?w=800&auto=format&fit=crop&q=80,636,ACTIVE,false
Kumkum Roli Chandan Tilak Set Artisan,RAM-PS-005,Pooja Samagri,299,349,225,Premium quality turmeric-derived roli kumkum with pure sandalwood paste and akshat rice for daily tilak and puja ceremonies.,Traditional tilak ceremony set,https://images.unsplash.com/photo-1609357605129-26f69add5d6e?w=800&auto=format&fit=crop&q=80,107,ACTIVE,false
Natural Cow Ghee Diya Oil Jumbo,RAM-PS-006,Pooja Samagri,219,259,31,100% pure A2 cow ghee specially filtered for diya lighting. Produces clean golden flame with divine fragrance.,Pure desi ghee for temple diyas,https://images.unsplash.com/photo-1608571423902-eed4a5ad8108?w=800&auto=format&fit=crop&q=80,754,ACTIVE,false
Sacred Gangajal (Ganga Water) Standard,RAM-PS-007,Pooja Samagri,249,279,68,"Authentic purified Gangajal from Haridwar ghat for abhishekam, griha pravesh, and all sacred Hindu rituals.",Holy Ganga river water for puja,https://images.unsplash.com/photo-1590249350651-28a2c5aa0de3?w=800&auto=format&fit=crop&q=80,361,ACTIVE,false
Sindoor Powder Traditional Jumbo,RAM-PS-008,Pooja Samagri,179,209,99,Premium quality natural sindoor made from turmeric and lime. Lead-free and safe for daily religious application.,Traditional vermillion powder,https://images.unsplash.com/photo-1604607053070-6ede2b4c6747?w=800&auto=format&fit=crop&q=80,81,ACTIVE,false
Akshat (Sacred Rice) Sacred Standard,RAM-PS-009,Pooja Samagri,69,89,381,"Premium quality turmeric-coloured unbroken rice grains for puja offerings, tilak ceremonies and religious rituals.",Coloured rice grains for puja offerings,https://images.unsplash.com/photo-1609357605129-26f69add5d6e?w=800&auto=format&fit=crop&q=80,144,ACTIVE,false
Panchamrit Mix Powder Compact,RAM-PS-010,Pooja Samagri,359,439,40,"Authentic panchamrit preparation powder containing dried milk, honey, curd, sugar and tulsi for deity abhishekam.",Five-nectar mixture for abhishekam,https://images.unsplash.com/photo-1608571423902-eed4a5ad8108?w=800&auto=format&fit=crop&q=80,199,ACTIVE,false
